,Date,Close_btc,Open_btc,High_btc,Low_btc,Volume_btc,Open_gbtc,High_gbtc,Low_gbtc,Close_gbtc,Volume_gbtc,value,Out,WTI,brent,gold,silver,litecoin,Ethereum,AUDUSD CURNCY,CADUSD CURNCY,CNYUSD CURNCY,EURUSD CURNCY,GBPUSD CURNCY,JPYUSD CURNCY,Premium,hashrate,Return_btc,Return_gbtc,ratio_return,Mom5d_gbtc,Mom30d_gbtc,Mom90d_gbtc,Mom180d_gbtc,ratio_Mom5d,ratio_Mom30d,ratio_Mom90d,ratio_Mom180d
0,2018/2/8,8370,7973.07,8638.99,7768.92,14589.14714,14.66,14.95,13.76,13.945,5211700,30,177.129,50.41,64.81,1455.8,18.218,146.76,802.735,0.7781,0.7935,0.15804,1.2247,1.3913,0.009196,-0.998333931,19291612.22,0.035588539,0.027931814,0.784854196,0.290188735,-0.016266399,-0.246358232,-0.739001537,1.517435402,-0.608272211,1.1502871,2.537355134
1,2018/2/9,8673.24,8078.39,9000,7750,6232.926203,14.6,14.67,13.54,14.34,3938100,44,177.138,49.83,62.79,1449.1,18.004,157.868,862.248,0.7813,0.7948,0.15901,1.2252,1.3827,0.00919,-0.998346639,18720008.9,0.035588539,0.027931814,0.784854196,0.290188735,-0.016266399,-0.246358232,-0.739001537,1.517435402,-0.608272211,1.1502871,2.537355134
2,2018/2/12,8789.17,8484.8,8985,8349.99,5087.61321,14.665,15.05,14.37,14.87,4172000,42,177.193,50.02,62.59,1459.9,18.43,161.82,868.978,0.7862,0.7951,0.15786,1.2292,1.3838,0.009203,-0.998308145,18720008.9,0.013277858,0.036292925,2.733341804,0.290188735,-0.016266399,-0.246358232,-0.739001537,1.517435402,-0.608272211,1.1502871,2.537355134
3,2018/2/13,8613.69,8764.99,8774.99,8379,5105.793031,14.695,14.7,14.05,14.39,2317100,35,177.193,50.66,62.72,1463.8,18.382,158.013,839.233,0.7859,0.7942,0.15769,1.2352,1.3894,0.009275,-0.998329404,18720008.9,-0.020167484,-0.03281224,1.626987286,0.290188735,-0.016266399,-0.246358232,-0.739001537,1.517435402,-0.608272211,1.1502871,2.537355134
4,2018/2/14,9242.48,8704.92,9749.99,8702.88,9139.581131,15.205,16.587999,15.2,16.440001,6482800,55,177.227,50.67,64.36,1491.9,18.727,207.555,904.71,0.7926,0.8005,0.15753,1.2451,1.3999,0.009345,-0.998221257,18720008.9,0.07045745,0.13318393,1.890274624,0.290188735,-0.016266399,-0.246358232,-0.739001537,1.517435402,-0.608272211,1.1502871,2.537355134
5,2018/2/15,10133.94,9666.64,10307.6,9502.75,8987.901139,17.360001,19.41,16.440001,18.639999,9015800,71,180.306,50.58,64.33,1490.5,18.658,207.593,917.993,0.7945,0.8013,0.15752,1.2506,1.4099,0.009424,-0.998160637,25265138.83,0.092079938,0.125592305,1.363948622,0.290188735,-0.016266399,-0.246358232,-0.739001537,1.517435402,-0.608272211,1.1502871,2.537355134
6,2018/2/16,10041.79,10106,10500,9710,5377.571883,17.75,19.4,17.49,17.76,6871300,67,180.385,50.87,64.84,1491.8,18.579,227.433,936.643,0.7905,0.7969,0.15758,1.2406,1.4026,0.00941,-0.998231391,25265138.83,-0.009134801,-0.048361018,5.294151155,0.213895902,-0.016266399,-0.246358232,-0.739001537,1.459911121,-0.608272211,1.1502871,2.537355134
7,2018/2/20,11671.13,11425.07,11750,10849.99,8642.947935,20.059999,20.4,19.530001,19.99,6919300,74,180.385,51.42,65.25,1468,18.297,243.74,914.718,0.7883,0.7907,0.15767,1.2337,1.3996,0.009317,-0.998287227,25265138.83,0.150362886,0.118283411,0.786652971,0.295886388,-0.016266399,-0.246358232,-0.739001537,1.043330345,-0.608272211,1.1502871,2.537355134
8,2018/2/21,10429.99,10902,11186,10248,10405.56139,18.190001,18.700001,17.75,17.860001,5963600,54,180.399,51.5,65.42,1470.2,18.471,205.293,824.37,0.7804,0.7872,0.15742,1.2284,1.3918,0.009279,-0.99828763,21677190.12,-0.112432961,-0.112668517,1.002095082,0.216030111,-0.016266399,-0.246358232,-0.739001537,1.129082079,-0.608272211,1.1502871,2.537355134
9,2018/2/22,10025.01,10744.57,10939.9,9595,10538.464,17.01,17.24,16.280001,16.92,6643900,44,180.467,51.63,66.39,1471,18.433,193.358,807.343,0.7846,0.7871,0.15751,1.233,1.3956,0.009367,-0.998312221,21677190.12,-0.03960234,-0.054067277,1.365254626,0.028778904,-0.016266399,-0.246358232,-0.739001537,0.354102862,-0.608272211,1.1502871,2.537355134
10,2018/2/23,10049.61,9815.34,10480,9684.44,5523.366911,17.719999,18.25,17.129999,17.209999,4660200,39,180.477,52.42,67.31,1468.6,18.343,200.295,831.158,0.7843,0.7916,0.15784,1.2295,1.3971,0.009356,-0.998287496,21677190.12,0.002450857,0.016994198,6.933981607,-0.079819203,-0.016266399,-0.246358232,-0.739001537,9.55191219,-0.608272211,1.1502871,2.537355134
